sku,type,sapo_available,sapo_remain
FM-BRSL01-XP-S-FM-QNSL01-XG-M,combo,92,0
FM-BRSL01-XP-S-FM-QNSL01-XG-S,combo,91,0
FM-ACSL01-XP-XL-FM-QDSL02-XP-XL,combo,0,0
FM-ACSL01-XP-XL-FM-QDSL02-XP-L,combo,0,0
FM-ACSL01-XP-XL-FM-QDSL02-XP-M,combo,0,0
FM-ACSL01-XP-XL-FM-QDSL02-XP-S,combo,0,0
FM-ACSL01-XP-L-FM-QDSL02-XP-XL,combo,47,0
FM-ACSL01-XP-L-FM-QDSL02-XP-L,combo,51,0
FM-ACSL01-XP-L-FM-QDSL02-XP-M,combo,53,0
FM-ACSL01-XP-L-FM-QDSL02-XP-S,combo,51,0
FM-ACSL01-XP-M-FM-QDSL02-XP-XL,combo,47,0
FM-ACSL01-XP-M-FM-QDSL02-XP-L,combo,75,0
FM-ACSL01-XP-M-FM-QDSL02-XP-M,combo,78,0
FM-ACSL01-XP-M-FM-QDSL02-XP-S,combo,76,0
FM-ACSL01-XP-S-FM-QDSL02-XP-XL,combo,46,0
FM-ACSL01-XP-S-FM-QDSL02-XP-L,combo,75,0
FM-ACSL01-XP-S-FM-QDSL02-XP-M,combo,86,0
FM-ACSL01-XP-S-FM-QDSL02-XP-S,combo,85,0
FM-BRSL01-VP-XL-FM-QDSL01-VP-XL,combo,48,0
FM-BRSL01-VP-XL-FM-QDSL01-VP-L,combo,77,0
FM-BRSL01-VP-XL-FM-QDSL01-VP-M,combo,91,0
FM-BRSL01-VP-XL-FM-QDSL01-VP-S,combo,91,0
FM-BRSL01-VP-L-FM-QDSL01-VP-XL,combo,48,0
FM-BRSL01-VP-L-FM-QDSL01-VP-L,combo,77,0
FM-BRSL01-VP-L-FM-QDSL01-VP-M,combo,144,0
FM-BRSL01-VP-L-FM-QDSL01-VP-S,combo,144,0
FM-BRSL01-VP-M-FM-QDSL01-VP-XL,combo,48,0
FM-BRSL01-VP-M-FM-QDSL01-VP-L,combo,77,0
FM-BRSL01-VP-M-FM-QDSL01-VP-M,combo,134,0
FM-BRSL01-VP-M-FM-QDSL01-VP-S,combo,134,0
FM-BRSL01-VP-S-FM-QDSL01-VP-XL,combo,48,0
FM-BRSL01-VP-S-FM-QDSL01-VP-L,combo,77,0
FM-BRSL01-VP-S-FM-QDSL01-VP-M,combo,135,0
FM-BRSL01-VP-S-FM-QDSL01-VP-S,combo,135,0
FM-ATSL01-VP-XL-FM-QNSL01-VG-XL,combo,22,0
FM-ATSL01-VP-XL-FM-QNSL01-VG-L,combo,22,0
FM-ATSL01-VP-XL-FM-QNSL01-VG-M,combo,22,0
FM-ATSL01-VP-XL-FM-QNSL01-VG-S,combo,22,0
FM-ATSL01-VP-L-FM-QNSL01-VG-XL,combo,35,0
FM-ATSL01-VP-L-FM-QNSL01-VG-L,combo,53,0
FM-ATSL01-VP-L-FM-QNSL01-VG-M,combo,53,0
FM-ATSL01-VP-L-FM-QNSL01-VG-S,combo,53,0
FM-ATSL01-VP-M-FM-QNSL01-VG-XL,combo,35,0
FM-ATSL01-VP-M-FM-QNSL01-VG-L,combo,62,0
FM-ATSL01-VP-M-FM-QNSL01-VG-M,combo,87,0
FM-ATSL01-VP-M-FM-QNSL01-VG-S,combo,87,0
FM-ATSL01-VP-S-FM-QNSL01-VG-XL,combo,37,0
FM-ATSL01-VP-S-FM-QNSL01-VG-L,combo,64,0
FM-ATSL01-VP-S-FM-QNSL01-VG-M,combo,89,0
FM-ATSL01-VP-S-FM-QNSL01-VG-S,combo,92,0
FM-BRSL02-HP-XL-FM-QDSL01-HP-XL,combo,0,0
FM-BRSL02-HP-XL-FM-QDSL01-HP-L,combo,0,0
FM-BRSL02-HP-XL-FM-QDSL01-HP-M,combo,0,0
FM-BRSL02-HP-XL-FM-QDSL01-HP-S,combo,0,0
FM-BRSL02-HP-L-FM-QDSL01-HP-XL,combo,58,0
FM-BRSL02-HP-L-FM-QDSL01-HP-L,combo,68,0
FM-BRSL02-HP-L-FM-QDSL01-HP-M,combo,68,0
FM-BRSL02-HP-L-FM-QDSL01-HP-S,combo,68,0
FM-BRSL02-HP-M-FM-QDSL01-HP-XL,combo,59,0
FM-BRSL02-HP-M-FM-QDSL01-HP-L,combo,95,0
FM-BRSL02-HP-M-FM-QDSL01-HP-M,combo,94,0
FM-BRSL02-HP-M-FM-QDSL01-HP-S,combo,94,0
FM-BRSL02-HP-S-FM-QDSL01-HP-XL,combo,58,0
FM-BRSL02-HP-S-FM-QDSL01-HP-L,combo,94,0
FM-BRSL02-HP-S-FM-QDSL01-HP-M,combo,94,0
FM-BRSL02-HP-S-FM-QDSL01-HP-S,combo,94,0
FM-ACSL01-HP-XL-FM-QDSL02-HP-XL,combo,0,0
FM-ACSL01-HP-XL-FM-QDSL02-HP-L,combo,0,0
FM-ACSL01-HP-XL-FM-QDSL02-HP-M,combo,0,0
FM-ACSL01-HP-XL-FM-QDSL02-HP-S,combo,0,0
FM-ACSL01-HP-L-FM-QDSL02-HP-XL,combo,58,0
FM-ACSL01-HP-L-FM-QDSL02-HP-L,combo,76,0
FM-ACSL01-HP-L-FM-QDSL02-HP-M,combo,78,0
FM-ACSL01-HP-L-FM-QDSL02-HP-S,combo,78,0
FM-ACSL01-HP-M-FM-QDSL02-HP-XL,combo,58,0
FM-ACSL01-HP-M-FM-QDSL02-HP-L,combo,93,0
FM-ACSL01-HP-M-FM-QDSL02-HP-M,combo,95,0
FM-ACSL01-HP-M-FM-QDSL02-HP-S,combo,95,0
FM-ACSL01-HP-S-FM-QDSL02-HP-XL,combo,58,0
