sku,type,sapo_available,shopify_available,diff,sapo_remain,shopify_remain
FM-ACTD01-BE-XL,normal,23,1,22,0,1
FM-ACTD01-XT-L,normal,61,1,60,0,1
FM-ACTD01-XT-M,normal,55,1,54,0,1
FM-ACTD01-XT-S,normal,128,1,127,0,1
FM-ACTD01-XT-XL,normal,135,1,134,0,1
FM-AKTN01-BN-L,normal,71,1,70,0,1
FM-AKTN01-BN-M,normal,60,1,59,0,1
FM-AKTN01-BN-S,normal,62,1,61,0,1
FM-AKTN01-BN-XL,normal,8,1,7,0,1
FM-AKTN01-NB-S,normal,-1,0,-1,0,0
FM-AKTN01-RB-L,normal,46,1,45,0,1
FM-AKTN01-RB-M,normal,94,1,93,0,1
FM-AKTN01-RB-S,normal,54,1,53,0,1
FM-AKTN01-RB-XL,normal,31,1,30,0,1
FM-VTHN01-TR-L,normal,59,1,58,0,1
FM-VTHN01-TR-M,normal,60,1,59,0,1
FM-VTHN01-TR-S,normal,43,1,42,0,1
FM-VTHN01-TR-XL,normal,47,1,46,0,1
FM-VTHN01-BN-L,normal,114,1,113,0,1
FM-VTHN01-BN-M,normal,74,1,73,0,1
FM-VTHN01-BN-S,normal,65,1,64,0,1
FM-VTHN01-BN-XL,normal,40,1,39,0,1
FM-VTHN01-NB-L,normal,34,1,33,0,1
FM-VTHN01-NB-M,normal,22,1,21,0,1
FM-VTHN01-NB-S,normal,55,1,54,0,1
FM-VTHN01-NB-XL,normal,20,1,19,0,1
FM-VTHN01-RB-L,normal,73,1,72,0,1
FM-VTHN01-RB-M,normal,18,1,17,0,1
FM-VTHN01-RB-S,normal,57,1,56,0,1
FM-VTHN01-RB-XL,normal,27,1,26,0,1
FM-DXTN01-TR-L,normal,39,1,38,0,1
FM-DXTN01-TR-M,normal,21,1,20,0,1
FM-DXTN01-TR-S,normal,4,1,3,0,1
FM-DXTN01-TR-XL,normal,24,1,23,0,1
FM-DXTN01-BN-L,normal,59,1,58,0,1
FM-DXTN01-BN-M,normal,58,1,57,0,1
FM-DXTN01-BN-S,normal,46,1,45,0,1
FM-DXTN01-BN-XL,normal,30,1,29,0,1
FM-DXTN01-NB-L,normal,48,1,47,0,1
FM-DXTN01-NB-M,normal,54,1,53,0,1
FM-DXTN01-NB-S,normal,41,1,40,0,1
FM-DXTN01-NB-XL,normal,45,1,44,0,1
FM-DXTN01-RB-S,normal,93,1,92,0,1
FM-DXTN01-RB-XL,normal,4,1,3,0,1
FM-ATCT01-TR-L,normal,163,1,162,0,1
FM-ATCT01-TR-M,normal,164,1,163,0,1
FM-ATCT01-TR-S,normal,148,1,147,0,1
FM-ATCT01-TR-XL,normal,148,1,147,0,1
FM-ATCT01-BN-L,normal,222,1,221,0,1
FM-ATCT01-BN-M,normal,201,1,200,0,1
FM-ATCT01-BN-S,normal,58,1,57,0,1
FM-ATCT01-BN-XL,normal,124,1,123,0,1
FM-ATCT01-NB-L,normal,212,1,211,0,1
FM-ATCT01-NB-M,normal,169,1,168,0,1
FM-ATCT01-NB-S,normal,128,1,127,0,1
FM-ATCT01-NB-XL,normal,189,1,188,0,1
FM-ATCT01-RB-L,normal,303,1,302,0,1
FM-ATCT01-RB-M,normal,406,1,405,0,1
FM-ATCT01-RB-S,normal,212,1,211,0,1
FM-ATCT01-RB-XL,normal,220,1,219,0,1
FM-VTNN02-TR-L,normal,117,1,116,0,1
FM-VTNN02-TR-M,normal,19,1,18,0,1
FM-VTNN02-TR-S,normal,12,1,11,0,1
FM-VTNN02-TR-XL,normal,53,1,52,0,1
FM-VTNN01-NB-L,normal,73,1,72,0,1
FM-VTNN01-NB-M,normal,84,1,83,0,1
FM-VTNN01-NB-S,normal,68,1,67,0,1
FM-VTNN01-NB-XL,normal,72,1,71,0,1
FM-VTNN01-RB-L,normal,61,1,60,0,1
FM-VTNN01-RB-M,normal,78,1,77,0,1
FM-VTNN01-RB-S,normal,28,1,27,0,1
FM-VTNN01-RB-XL,normal,25,1,24,0,1
FM-APTN01-TR-L,normal,198,1,197,0,1
FM-APTN01-TR-M,normal,111,1,110,0,1
FM-APTN01-TR-S,normal,74,1,73,0,1
FM-APTN01-TR-XL,normal,73,1,72,0,1
FM-APTN01-BN-L,normal,95,1,94,0,1
FM-APTN01-BN-M,normal,93,1,92,0,1
FM-APTN01-BN-S,normal,76,1,75,0,1
FM-APTN01-BN-XL,normal,40,1,39,0,1
FM-APTN01-NB-L,normal,45,1,44,0,1
FM-APTN01-NB-M,normal,40,1,39,0,1
FM-APTN01-NB-S,normal,74,1,73,0,1
FM-APTN01-NB-XL,normal,47,1,46,0,1
FM-APTN01-RB-L,normal,104,1,103,0,1
FM-APTN01-RB-M,normal,125,1,124,0,1
FM-APTN01-RB-S,normal,95,1,94,0,1
FM-APTN01-RB-XL,normal,84,1,83,0,1
FM-DNTN01-TR-L,normal,38,1,37,0,1
FM-DNTN01-TR-S,normal,15,1,14,0,1
FM-DNTN01-TR-XL,normal,30,1,29,0,1
FM-DNTN01-BN-L,normal,40,1,39,0,1
FM-DNTN01-BN-M,normal,20,1,19,0,1
FM-DNTN01-BN-S,normal,53,1,52,0,1
FM-DNTN01-BN-XL,normal,13,1,12,0,1
FM-DNTN01-NB-L,normal,130,1,129,0,1
FM-DNTN01-NB-M,normal,86,1,85,0,1
FM-DNTN01-NB-S,normal,110,1,109,0,1
FM-DNTN01-NB-XL,normal,68,1,67,0,1
FM-DNTN01-RB-L,normal,332,1,331,0,1
FM-DNTN01-RB-M,normal,294,1,293,0,1
FM-DNTN01-RB-S,normal,214,1,213,0,1
FM-DNTN01-RB-XL,normal,263,1,262,0,1
FM-AHZN01-DE-XL,normal,44,1,43,0,1
FM-AHZN01-DE-S,normal,77,1,76,0,1
FM-AHZN01-DE-M,normal,47,1,46,0,1
FM-AHZN01-DE-L,normal,65,1,64,0,1
FM-AHZN01-BN-L,normal,48,1,47,0,1
FM-AHZN01-BN-M,normal,14,1,13,0,1
FM-AHZN01-BN-S,normal,26,1,25,0,1
FM-AHZN01-BN-XL,normal,33,1,32,0,1
FM-AHZN01-TR-L,normal,60,1,59,0,1
FM-AHZN01-TR-M,normal,3,1,2,0,1
FM-AHZN01-TR-S,normal,27,1,26,0,1
FM-AHZN01-TR-XL,normal,77,1,76,0,1
FM-AHZD01-DE-XL,normal,55,1,54,0,1
FM-AHZD01-DE-S,normal,64,1,63,0,1
FM-AHZD01-DE-M,normal,30,1,29,0,1
FM-AHZD01-DE-L,normal,36,1,35,0,1
FM-AHZD01-TR-XL,normal,36,1,35,0,1
FM-ATSP01-HP-L,normal,139,1,138,0,1
