platform,issue_type,sku,sapo_available,platform_available
pancake,extra_on_platform,885-3,,0
pancake,extra_on_platform,886-3,,0
pancake,extra_on_platform,887-3,,0
pancake,extra_on_platform,888-3,,0
pancake,extra_on_platform,889-3,,0
pancake,extra_on_platform,891-10,,0
pancake,extra_on_platform,891-11,,0
pancake,extra_on_platform,891-12,,0
pancake,extra_on_platform,891-9,,0
pancake,extra_on_platform,893-3,,0
pancake,extra_on_platform,894-3,,0
pancake,extra_on_platform,895-3,,0
pancake,extra_on_platform,896-3,,0
pancake,extra_on_platform,897-3,,0
pancake,extra_on_platform,898-3,,0
pancake,extra_on_platform,899-3,,0
pancake,extra_on_platform,900-3,,0
pancake,extra_on_platform,901-3,,0
pancake,extra_on_platform,902-3,,0
pancake,extra_on_platform,903-3,,0
pancake,extra_on_platform,904-3,,0
pancake,extra_on_platform,905-3,,0
pancake,extra_on_platform,906-3,,0
pancake,extra_on_platform,907-3,,0
pancake,extra_on_platform,908-3,,0
pancake,extra_on_platform,909-3,,0
pancake,extra_on_platform,910-3,,0
pancake,extra_on_platform,911-3,,0
pancake,extra_on_platform,912-3,,0
pancake,extra_on_platform,913-3,,0
pancake,extra_on_platform,914-3,,0
pancake,extra_on_platform,915-3,,0
pancake,extra_on_platform,916-3,,0
pancake,extra_on_platform,917-3,,0
pancake,extra_on_platform,918-3,,0
pancake,extra_on_platform,919-3,,0
pancake,extra_on_platform,920-3,,0
pancake,extra_on_platform,921-3,,0
pancake,extra_on_platform,922-3,,0
pancake,extra_on_platform,923-3,,0
pancake,extra_on_platform,924-3,,0
pancake,extra_on_platform,925-3,,0
pancake,extra_on_platform,926-3,,0
pancake,extra_on_platform,927-3,,0
pancake,extra_on_platform,928-3,,0
pancake,extra_on_platform,929-3,,0
pancake,extra_on_platform,930-3,,0
pancake,extra_on_platform,931-3,,0
pancake,extra_on_platform,932-3,,0
pancake,extra_on_platform,933-3,,0
pancake,extra_on_platform,934-3,,0
pancake,extra_on_platform,935-3,,0
pancake,extra_on_platform,936-3,,0
pancake,extra_on_platform,937-3,,0
pancake,extra_on_platform,938-3,,0
pancake,extra_on_platform,939-3,,0
pancake,extra_on_platform,940-3,,0
pancake,extra_on_platform,941-3,,0
pancake,extra_on_platform,942-3,,0
pancake,extra_on_platform,943-3,,0
pancake,extra_on_platform,944-3,,0
pancake,extra_on_platform,961-3,,0
pancake,extra_on_platform,962-3,,0
pancake,extra_on_platform,963-3,,0
pancake,extra_on_platform,964-3,,0
pancake,extra_on_platform,965-3,,0
pancake,extra_on_platform,966-3,,0
pancake,extra_on_platform,967-3,,0
pancake,extra_on_platform,968-3,,0
pancake,extra_on_platform,969-3,,0
pancake,extra_on_platform,970-3,,0
pancake,extra_on_platform,971-3,,0
pancake,extra_on_platform,972-3,,0
pancake,extra_on_platform,985-10,,0
pancake,extra_on_platform,985-11,,0
pancake,extra_on_platform,985-12,,0
pancake,extra_on_platform,985-9,,0
pancake,extra_on_platform,986-10,,0
pancake,extra_on_platform,986-11,,0
pancake,extra_on_platform,986-12,,0
pancake,extra_on_platform,986-9,,0
pancake,extra_on_platform,987-10,,0
pancake,extra_on_platform,987-11,,0
pancake,extra_on_platform,987-12,,0
pancake,extra_on_platform,987-9,,0
pancake,extra_on_platform,988-10,,0
pancake,extra_on_platform,988-11,,0
pancake,extra_on_platform,988-12,,0
pancake,extra_on_platform,988-9,,0
pancake,extra_on_platform,FM-AVBNU-DE-2XL-2-D,,138
pancake,extra_on_platform,FM-BCTR01-BN-B,,199
pancake,extra_on_platform,FM-BRRB01-XN-L,,0
pancake,extra_on_platform,FM-BRRB01-XN-M,,0
pancake,extra_on_platform,FM-BRRB01-XN-S,,0
pancake,extra_on_platform,FM-BRRB01-XN-XL,,0
pancake,extra_on_platform,FM-BRSB01-XN-L,,0
pancake,extra_on_platform,FM-BRSB01-XN-M,,0
pancake,extra_on_platform,FM-BRSB01-XN-S,,0
pancake,extra_on_platform,FM-BRSB01-XN-XL,,0
pancake,extra_on_platform,FM-BRZT01-XN-L,,0
pancake,extra_on_platform,FM-BRZT01-XN-M,,0
pancake,extra_on_platform,FM-BRZT01-XN-S,,0
pancake,extra_on_platform,FM-BRZT01-XN-XL,,0
pancake,extra_on_platform,FM-JGNAM01-DE-2XL-2-D,,1
pancake,extra_on_platform,FM-QDOL01-XN-L,,0
pancake,extra_on_platform,FM-QDOL01-XN-M,,0
pancake,extra_on_platform,FM-QDOL01-XN-S,,0
pancake,extra_on_platform,FM-QDOL01-XN-XL,,0
pancake,extra_on_platform,FM-QDPK01-XN-L,,0
pancake,extra_on_platform,FM-QDPK01-XN-M,,0
pancake,extra_on_platform,FM-QDPK01-XN-S,,0
pancake,extra_on_platform,FM-QDPK01-XN-XL,,0
pancake,extra_on_platform,FM-QDTT01-XN-L,,0
pancake,extra_on_platform,FM-QDTT01-XN-M,,0
pancake,extra_on_platform,FM-QDTT01-XN-S,,0
pancake,extra_on_platform,FM-QDTT01-XN-XL,,0
pancake,extra_on_platform,FM-QDZT01-XN-2XL,,0
pancake,extra_on_platform,FM-QDZT01-XN-L,,0
pancake,extra_on_platform,FM-QDZT01-XN-M,,0
pancake,extra_on_platform,FM-QDZT01-XN-S,,0
pancake,extra_on_platform,FM-QDZT01-XN-XL,,0
pancake,extra_on_platform,VOFM01-DE--,,0
pancake,extra_on_platform,VOFM01-HP--,,1271
pancake,extra_on_platform,VOFM01-TR--,,722
pancake,extra_on_platform,VV-ACSP01-TR-XL,,0
pancake,inventory_diff,FM-ABLN02-TR-S,-1,0
pancake,inventory_diff,FM-ABLN02-TR-S-FM-QNTG01-DG-L,-1,0
pancake,inventory_diff,FM-ABLN02-TR-S-FM-QNTG01-DG-M,-1,0
pancake,inventory_diff,FM-ABLN02-TR-S-FM-QNTG01-DG-S,-1,0
pancake,inventory_diff,FM-ABLN02-TR-S-FM-QNTG01-DG-XL,-1,0
pancake,inventory_diff,FM-ABPL01-TD-L,78,79
pancake,inventory_diff,FM-ABPL01-TD-L-FM-VSFM01-DE-L,78,79
pancake,inventory_diff,FM-ABPL01-TD-L-FM-VSFM01-DE-M,78,79
pancake,inventory_diff,FM-ABPL01-TD-L-FM-VSFM01-DE-S,78,79
pancake,inventory_diff,FM-ABPL01-TD-L-FM-VSFM01-DE-XL,78,79
pancake,inventory_diff,FM-ABPL01-TD-L-FM-VXLN01-DE-L,78,79
pancake,inventory_diff,FM-ABPL01-TD-L-FM-VXLN01-DE-M,78,79
pancake,inventory_diff,FM-ABPL01-TD-L-FM-VXLN01-DE-S,78,79
pancake,inventory_diff,FM-ABPL01-TD-L-FM-VXLN01-DE-XL,78,79
pancake,inventory_diff,FM-ACCV01-SA-XL,93,92
pancake,inventory_diff,FM-ACCV01-SA-XL-FM-QDCV01-SA-2XL,93,92
pancake,inventory_diff,FM-ACCV01-SA-XL-FM-QDCV01-SA-XL,93,92
pancake,inventory_diff,FM-ACCV01-XX-2XL-FM-QDCV01-XX-S,-1,0
pancake,inventory_diff,FM-ACCV01-XX-L-FM-QDCV01-XX-S,-1,0
pancake,inventory_diff,FM-ACCV01-XX-M-FM-QDCV01-XX-S,-1,0
pancake,inventory_diff,FM-ACCV01-XX-S-FM-QDCV01-XX-S,-1,0
pancake,inventory_diff,FM-ACCV01-XX-XL-FM-QDCV01-XX-S,-1,0
pancake,inventory_diff,FM-ACDB01-TR-L-FM-QDCV01-XX-S,-1,0
pancake,inventory_diff,FM-ACDB01-TR-M-FM-QDCV01-XX-S,-1,0
pancake,inventory_diff,FM-ACDB01-TR-S-FM-QDCV01-XX-S,-1,0
pancake,inventory_diff,FM-ACDB01-TR-XL-FM-QDCV01-XX-S,-1,0
pancake,inventory_diff,FM-ACNB01-LG-XL,-2,0
pancake,inventory_diff,FM-ACNB01-LG-XL-FM-QNTG01-DG-L,-2,0
pancake,inventory_diff,FM-ACNB01-LG-XL-FM-QNTG01-DG-M,-2,0
