sku,status,reason,action,sapoAvailable,pancakeAvailable,shopifyAvailable,sapoName,pancakeName,shopifyName
4669-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym yoga Fitme áo bra thể thao Racer Back, Quần legging dài Zeta Midnight Blue",
4670-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym yoga Fitme áo bra thể thao Racer Back, Quần legging dài Zeta Midnight Blue",
4671-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym yoga Fitme áo bra thể thao Racer Back, Quần legging dài Zeta Midnight Blue",
4672-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym yoga Fitme áo bra thể thao Racer Back, Quần legging dài Zeta Midnight Blue",
4673-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym yoga Fitme áo bra thể thao Racer Back, Quần legging dài Zeta Midnight Blue",
4674-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym yoga Fitme áo bra thể thao Racer Back, Quần legging dài Zeta Midnight Blue",
4675-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym yoga Fitme áo bra thể thao Racer Back, Quần legging dài Zeta Midnight Blue",
4676-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym yoga Fitme áo bra thể thao Racer Back, Quần legging dài Zeta Midnight Blue",
4677-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym yoga Fitme áo bra thể thao Racer Back, Quần legging dài Zeta Midnight Blue",
4678-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym yoga Fitme áo bra thể thao Racer Back, Quần legging dài Zeta Midnight Blue",
4679-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym yoga Fitme áo bra thể thao Racer Back, Quần legging dài Zeta Midnight Blue",
4680-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym yoga Fitme áo bra thể thao Racer Back, Quần legging dài Zeta Midnight Blue",
519-3,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym boxing nam Fitme Men áo thun ba lỗ, Quần đùi vạt xẻ cạp chun co giãn Space Grey",
521-3,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym nam Fitme Men áo thun Performance 2.0 oversize, Quần đùi Ultralight thoáng khí Đen",
522-3,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym nam Fitme Men áo thun oversize co giãn 4 chiều AOTN01, Quần đùi thoáng khí vạt xẻ QN1L03 Space Grey",
5895-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym boxing nam Fitme Men áo tay dài ôm body chống ma sát, Quần jogger túi hộp co giãn cao cấp Space Grey",
5896-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym boxing nam Fitme Men áo tay dài ôm body chống ma sát, Quần jogger túi hộp co giãn cao cấp Space Grey",
5897-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym boxing nam Fitme Men áo tay dài ôm body chống ma sát, Quần jogger túi hộp co giãn cao cấp Space Grey",
5898-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym boxing nam Fitme Men áo tay dài ôm body chống ma sát, Quần jogger túi hộp co giãn cao cấp Space Grey",
5899-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym boxing nam Fitme Men áo tay dài ôm body chống ma sát, Quần jogger túi hộp co giãn cao cấp Space Grey",
5900-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym boxing nam Fitme Men áo tay dài ôm body chống ma sát, Quần jogger túi hộp co giãn cao cấp Space Grey",
5901-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym boxing nam Fitme Men áo tay dài ôm body chống ma sát, Quần jogger túi hộp co giãn cao cấp Space Grey",
5902-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym boxing nam Fitme Men áo tay dài ôm body chống ma sát, Quần jogger túi hộp co giãn cao cấp Space Grey",
5903-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym boxing nam Fitme Men áo tay dài ôm body chống ma sát, Quần jogger túi hộp co giãn cao cấp Space Grey",
5904-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym boxing nam Fitme Men áo tay dài ôm body chống ma sát, Quần jogger túi hộp co giãn cao cấp Space Grey",
5905-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,"Bộ đồ tập gym boxing nam Fitme Men áo tay dài ôm body chống ma sát, Quần jogger túi hộp co giãn cao cấp Space Grey",
